,All Arrests,,,,,,Domestic Arrests,,,,,,Percent Domestic,,,,,
Most Serious Arrest Offense,"2,006","2,007","2,008","2,009","2,010",Total,"2,006","2,007","2,008","2,009","2,010",Total,"2,006","2,007","2,008","2,009","2,010",Total
Homicide Offenses,233,225,256,230,241,"1,185",52,49,51,46,62,260,22.30%,21.80%,19.90%,20.00%,25.70%,21.90%
Murder and Non-negligent Manslaughter,228,215,245,221,231,"1,140",50,46,49,45,57,247,21.9,21.4,20,20.4,24.7,21.7
Negligent Manslaughter,5,10,11,9,10,45,2,3,2,1,5,13,40,30,18.2,11.1,50,28.9
Justifiable Homicide,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sexual Assault Offenses,"1,186","1,136","1,189","1,106","1,240","5,857",347,345,406,359,414,"1,871",29.30%,30.40%,34.10%,32.50%,33.40%,31.90%
Forcible Sexual Assault,"1,079","1,048","1,098","1,005","1,120","5,350",313,321,373,332,375,"1,714",29,30.6,34,33,33.5,32
Forcible Rape,309,294,319,258,298,"1,478",103,96,133,93,100,525,33.3,32.7,41.7,36,33.6,35.5
Forcible Sodomy,158,130,135,134,125,682,52,59,65,64,58,298,32.9,45.4,48.1,47.8,46.4,43.7
Sexual Assault With An Object,55,83,93,79,82,392,20,30,34,28,32,144,36.4,36.1,36.6,35.4,39,36.7
Forcible Fondling,557,541,551,534,615,"2,798",138,136,141,147,185,747,24.8,25.1,25.6,27.5,30.1,26.7
Non-Forcible Sexual Assault,107,88,91,101,120,507,34,24,33,27,39,157,31.8,27.3,36.3,26.7,32.5,31
Incest,12,7,8,7,3,37,11,6,7,4,3,31,91.7,85.7,87.5,57.1,100,83.8
Statutory Rape,95,81,83,94,117,470,23,18,26,23,36,126,24.2,22.2,31.3,24.5,30.8,26.8
Robbery,"1,859","1,791","1,833","1,695","1,728","8,906",74,74,73,65,71,357,4.00%,4.10%,4.00%,3.80%,4.10%,4.00%
Assault Offenses,"39,630","41,536","41,967","43,004","45,851","211,988","23,058","24,326","24,851","25,364","27,316","124,915",58.20%,58.60%,59.20%,59.00%,59.60%,58.90%
Aggravated Assault,"4,602","4,462","4,388","4,215","4,230","21,897","1,635","1,544","1,558","1,559","1,542","7,838",35.5,34.6,35.5,37,36.5,35.8
Simple Assault,"33,474","35,475","36,069","37,241","40,121","182,380","21,028","22,401","22,836","23,383","25,346","114,994",62.8,63.1,63.3,62.8,63.2,63.1
Intimidation,"1,554","1,599","1,510","1,548","1,500","7,711",395,381,457,422,428,"2,083",25.4,23.8,30.3,27.3,28.5,27
Kidnapping/Abduction,834,882,888,929,"1,005","4,538",416,441,457,499,563,"2,376",49.90%,50.00%,51.50%,53.70%,56.00%,52.40%
Total,"43,742","45,570","46,133","46,964","50,065","232,474","23,947","25,235","25,838","26,333","28,426","129,779",54.70%,55.40%,56.00%,56.10%,56.80%,55.80%
