,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Brunswick Co,70,36,34,38,45,3.8,2,1.8,2.1,2.6,-31.6
Charlotte Co,136,106,93,84,48,10.6,8.6,7.4,6.6,3.8,-64.2
Greensville Co,25,29,50,30,46,2.1,2.3,4,2.4,3.8,81
Halifax Co,166,156,218,195,256,4.5,4.4,6.1,5.4,7.1,5780.00%
Henry Co,282,338,297,259,264,5.1,6.3,5.5,4.8,4.9,-3.9
Lunenburg Co,20,59,45,58,74,1.5,4.5,3.4,4.4,5.7,280
Mecklenburg Co,215,172,156,161,130,6.5,5.3,4.8,5,4,-38.5
Nottoway Co,84,92,66,70,83,5.4,5.9,4.2,4.4,5.2,-3.7
Patrick Co,85,63,91,95,80,4.4,3.3,4.7,4.9,4.3,-2.3
Pittsylvania Co,300,267,363,292,351,4.9,4.4,5.8,4.7,5.5,12.2
Prince Edward Co,29,23,44,70,59,1.4,1.1,2,3.3,2.5,7860.00%
Southampton Co,51,71,98,131,146,2.8,3.7,5.1,7,7.9,18210.00%
Danville C,582,583,663,558,571,12.9,13,14.6,12.3,13.3,3.1
Emporia C,125,80,99,96,93,23,14.8,17.1,16.4,15.7,-30.2
Martinsville C,120,146,119,170,156,8.2,10.3,8.2,11.5,11.3,37.8
Total,"2,290","2,221","2,436","2,307","2,402",6,5.9,6.4,6,6.3,5
