,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Gloucester Co,240,255,203,211,229,6.6,7.1,5.6,5.8,6.2,-6.1
Isle of Wight Co,167,185,244,226,220,5,5.4,7,6.5,6.2,2400.00%
James City Co,403,378,402,414,387,6.8,6.1,6.4,6.5,5.8,-14.7
Mathews Co,40,49,27,25,40,4.2,5.3,2.9,2.6,4.5,710.00%
Surry Co,54,55,53,44,24,7.6,7.9,7.4,6.1,3.4,-55.3
York Co,296,337,299,308,301,4.7,5.3,4.6,4.7,4.6,-2.1
Chesapeake C,"2,254","2,615","2,443","1,796","2,694",10.5,12.1,11.2,8.2,12.1,1520.00%
Franklin C,107,127,115,95,143,12.7,15.2,13.7,11.4,16.7,31.5
Hampton C,"1,369","1,329","1,252","1,420","1,318",9.4,9.2,8.7,9.8,9.6,210.00%
Newport News C,"2,562","2,302","2,463","2,148","2,097",14.1,12.7,13.5,11.8,11.6,-17.7
Norfolk C,"1,877","1,995","1,916","2,271","2,918",8,8.5,8.1,9.6,12,5000.00%
Poquoson C,46,43,84,122,65,3.9,3.6,7.1,10.3,5.3,3590.00%
Portsmouth C,"1,505","1,476","1,429","1,417","1,414",15.3,15.1,14.6,14.4,14.8,-3.3
Suffolk C,848,901,982,937,983,11,11.1,11.9,11.3,11.6,9.4
Virginia Beach C,"3,661","3,662","3,501","3,412","3,221",8.5,8.5,8.1,7.9,7.4,-12.9
Williamsburg C,99,73,57,79,88,7.4,5.5,4.3,5.8,6.3,-14.9
Total,"8,036","8,150","7,969","8,238","8,689",9.5,9.7,9.4,9,9.7,210.00%
