,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Bland Co,21,4,11,5,15,2.9,0.6,1.6,0.7,2.2,-24.1
Buchanan Co,143,107,142,184,167,5.9,4.4,5.8,7.5,6.9,1690.00%
Carroll Co,153,211,212,184,186,5.1,7.1,7,6.1,6.2,21.6
Dickenson Co,75,48,62,46,55,4.7,2.9,3.8,2.8,3.5,-25.5
Floyd Co,42,39,39,33,33,2.8,2.6,2.6,2.1,2.2,-21.4
Grayson Co,72,59,53,76,59,4.4,3.7,3.3,4.7,3.8,-13.6
Lee Co,30,26,15,16,23,1.2,1,0.6,0.6,0.9,-25
Russell Co,153,164,117,122,107,5.3,5.7,4,4.1,3.7,-30.2
Scott Co,112,100,153,86,99,4.8,4.2,6.3,3.5,4.3,-10.4
Smyth Co,251,224,161,192,194,7.8,7,5,6,6,-23.1
Tazewell Co,259,272,324,338,300,5.9,6.3,7.3,7.6,6.7,1360.00%
Washington Co,215,305,306,224,266,4.1,5.8,5.7,4.1,4.8,1710.00%
Wise Co,308,296,248,233,236,7.5,7.2,6,5.6,5.7,-24
Wythe Co,54,42,52,50,65,2,1.5,1.9,1.8,2.2,15.8
Bristol C,213,238,242,231,176,12.4,13.8,13.8,13,9.9,-20.2
Galax C,63,75,102,93,101,9.3,11.3,15.1,13.7,14.3,53.8
Norton C,24,29,28,22,41,6.4,7.4,6.9,5.4,10.4,6250.00%
Total,"2,188","2,239","2,267","2,135","2,123",5.3,5.4,5.5,5.1,5.1,-3.8
