,,,,,,,Percent Change,Percent Distribution
,2006,2007,2008,2009,2010,Total,2006-2010,Total
Sunday ,"7,729","7,736","7,636","7,685","7,797","38,583",0.9,17.70%
Monday ,"5,658","6,225","5,811","5,663","6,097","29,454",7.8,13.50%
Tuesday ,"5,426","5,680","5,861","5,675","5,812","28,454",7.1,13.00%
Wednesday,"5,416","5,552","5,546","5,427","5,821","27,762",7.5,12.70%
Thursday,"5,334","5,515","5,563","5,650","5,852","27,914",9.7,12.80%
Friday ,"5,616","6,003","6,102","5,880","6,434","30,035",14.6,13.70%
Saturday ,"7,127","7,198","7,552","7,151","7,344","36,372",3,16.60%
Total ,"42,306","43,909","44,071","43,131","45,157","218,574",6.7,100.00%
