Date,Street Address,Number,Notes
8/1/2014,W Sewell,1,
8/1/2014,Lasalle/ Armistead,1,DOA
8/1/2014,Horsley,1,
8/2/2014,Moger,1,
8/2/2014,Red Oak Court,1,
8/2/2014,Vaughan,1,
8/2/2014,Crispell,1,
8/3/2014,Peabody,1,
8/4/2014,W Sewell,1,
8/4/2014,Bancroft,2,
8/4/2014,Foley,5,
8/5/2014,N King /E Little Back,1,DOA
8/6/2014,Washington,1,
8/6/2014,Fox Hill,4,
8/7/2014,Benthall,1,
8/7/2014,Fox Hill,1,
8/7/2014,N Armistead,1,DOA
8/7/2014,N Armistead,1,DOA
8/7/2014,Mason,1,
8/8/2014,Shell Road Trailer Park,2,
8/8/2014,W Sewell,1,
8/8/2014,Rockwell,1,
8/8/2014,Shell Road Trailer Park,1,
8/8/2014,N King,1,
8/9/2014,Breckinridge,1,
8/9/2014,Shell Road Trailer Park,1,
8/9/2014,Rockwell,1,
8/9/2014,W Sewell,1,
8/10/2014,Harwood,1,
8/10/2014,Victoria,1,DOA
8/12/2014,Lavender Trace,1,
8/12/2014,Tappan,1,
8/13/2014,Walnut,2,
8/14/2014,Chesapeake,1,
8/14/2014,Gary,1,
8/14/2014,Bainbridge,2,
8/14/2014,Foley,1,
8/14/2014, W Sewell,1,
8/15/2014,Chesapeake,2,
8/15/2014,Atlantic,1,
8/15/2014,N King,1,DOA
8/15/2014,Bainbridge,1,
8/16/2014,Mason,1,
8/16/2014,Spanish Trail,2,
8/16/2014,Big Bethel,1,DOA
8/16/2014,Roads View,1,
8/16/2014,Rosser,2,
8/17/2014,Libby,3,
8/17/2014,W Sewell,1,
8/18/2014,W Sewell,1,
8/18/2014,Wind Mill Point,1,
8/18/2014,N Second,1,
8/18/2014,Chesapeake,1,
8/18/2014,Sandy Lake,1,
8/19/2014,Moger,1,
8/19/2014,Tulip,1,
8/19/2014,N Greenfield,1,
8/20/2014,N Second,1,
8/20/2014,Clover,1,
8/20/2014,E Mercury,1,DOA
8/20/2014,Shawen,1,DOA
8/20/2014,Orcutt,3,
8/21/2014,Willow,3,
8/21/2014,Smiley,1,DOA
8/21/2014,W Sewell,1,
8/22/2014,Big Bethel Rd./Burton St.,1,DOA
8/24/2014,Rip Rap,1,
8/25/2014,Woodbury Forrest,1,
8/25/2014,Evelyn,1,
8/25/2014,Park Ranger Way,1,DOA
8/25/2014,Ryland,1,DOA
8/25/2014,Todds Ln,1,
8/26/2014,Wells,1,
8/26/2014,Walnut,1,DOA
8/26/2014,Evelyn,1,
8/27/2014,E Kelly/N Mallory,1,DOA
8/27/2014,Wind Mill Point,1,
8/28/2014,Evelyn,4,
8/31/2014,W Sewell,1,
8/31/2014,Village/Woodmansee,1,
