Date ,Charge ,Street ,Zipcode ,SubDivsion
7/11/2006,DAMAGE PROPERTY ,ALEXANDER HAMILTON BLVD ,23690,
10/1/2006,EMBEZZLEMENT OF PUBLIC FUNDS ,ALEXANDER HAMILTON BLVD ,23690,
7/7/2006,DISORDERLY CONDUCT ,ALEXANDER HAMILTON BLVD ,23690,
11/27/2006,MOTOR VEHICLE THEFT ,BALLARD STREET ,23690,
12/2/2006,"DAMAGE PROPERTY, PRIVATE ",BALLARD STREET ,23690,
5/18/2006,"FORGING, UTTERING ",BALLARD STREET ,23690,
4/4/2006,VIOLATE PROTECTIVE ORDERS ,BALLARD STREET ,23690,
3/24/2006,CITIZEN REQUESTED ASSISTANCE ,BALLARD STREET ,23690,
3/21/2006,CITIZEN REQUESTED ASSISTANCE ,BALLARD STREET ,23690,
2/2/2006,CARRYING CONCEALED WEAPON -1ST OFFENSE ,BALLARD STREET ,23690,
9/20/2006,"ASSAULT, SIMPLE, DOMESTIC ",BALLARD STREET ,23690,
8/28/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BALLARD STREET ,23690,
5/6/2006,PETIT LARCENY ,BALLARD STREET ,23690,
11/18/2006,ANNOYING PHONE CALLS ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
8/29/2006,"SALE, DISTRIBUTE MARIJUANA ",BAPTIST ROAD ,23690,WILLIAMS TERRACE
7/10/2006,CITIZEN REQUESTED ASSISTANCE ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
10/9/2006,DEAD ON ARRIVAL ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
12/26/2005,GRAND LARCENY ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
1/3/2006,MISSING PERSON ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
8/24/2006,"SALE, DISTRIBUTE MARIJUANA ",BAPTIST ROAD ,23690,WILLIAMS TERRACE
10/18/2006,CITIZEN REQUESTED ASSISTANCE ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
8/17/2006,POSSESSION OF MARIJUANA ,BAPTIST ROAD ,23690,WILLIAMS TERRACE
7/10/2006,CITIZEN REQUESTED ASSISTANCE ,BARHAM BLVD ,23690,YORKTOWN SQUARE
12/28/2006,MAIMING ,BARHAM BLVD ,23690,YORKTOWN SQUARE
10/22/2006,CITIZEN REQUESTED ASSISTANCE ,BARHAM BLVD ,23690,YORKTOWN SQUARE
10/22/2006,"ASSAULT, SIMPLE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
