Classification,Number of Offenses
Pocket Picking,456
Purse Snatching,305
Shoplifting,29866
Theft From Building,20163
Theft From Coin-Operated Machine or Device,483
Theft From Motor Vehicles,39289
Theft of Motor Vehicle Parts & Accessories,15395
All Other Larceny,45441
Total,151398
