COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,32633,4075.62,1330,1,2,11,14,27,27,423,0,0,194,302,35,27,22,10,2,231,53,0,1,0,0,0,17
State Police ,,,123,1,0,1,0,1,1,9,0,1,3,15,0,1,18,0,0,2,90,0,0,0,0,0,8
Alleghany County SO ,12953,2084.45,270,0,2,4,7,0,10,54,6,0,17,84,6,1,4,1,0,73,27,2,0,0,0,0,7
State Police ,,,98,0,0,0,2,0,0,1,0,0,0,1,0,0,3,0,0,0,91,0,0,0,0,0,1
Amelia County SO ,13147,3027.3,398,0,1,1,4,2,9,121,2,0,47,79,18,6,14,1,2,82,45,1,3,0,1,0,12
State Police ,,,10,0,0,0,0,0,2,2,0,0,1,2,0,0,1,0,0,1,5,0,0,0,0,0,2
Amherst County SO ,30620,3455.25,1058,0,2,3,16,8,24,139,3,0,83,410,20,10,37,11,1,200,159,1,1,0,0,0,31
State Police ,,,28,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,20,0,0,0,0,0,0
Appomattox County SO ,14649,2041.09,299,0,1,5,3,0,11,28,0,0,40,97,7,5,9,0,0,60,44,0,0,0,0,0,1
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Augusta County SO ,72114,2064.78,1489,1,2,8,20,5,71,182,2,0,177,531,42,18,114,15,2,271,138,4,8,0,0,0,42
State Police ,,,10,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1
Bath County SO ,4745,1095.89,52,2,0,0,0,0,0,1,0,0,14,18,3,0,3,1,0,14,0,0,0,0,0,0,2
State Police ,,,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,1
Bedford County SO ,66856,2773.12,1854,1,5,14,20,5,133,660,0,0,151,495,63,22,77,2,3,349,123,5,16,0,1,0,55
State Police ,,,51,0,0,0,0,0,10,1,1,0,1,5,1,1,12,0,0,9,11,0,1,0,0,0,1
Bland County SO ,7121,1305.99,93,0,0,0,0,0,1,7,1,0,14,34,3,0,10,0,1,32,3,0,0,0,0,0,1
State Police ,,,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,13,0,0,0,0,0,0
Botetourt County SO ,33299,2690.77,896,0,3,7,8,2,11,196,2,1,77,264,15,19,58,10,5,156,158,1,2,0,1,0,16
State Police ,,,53,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0,43,0,0,0,0,0,2
Brunswick County SO ,17172,1601.44,275,1,1,3,1,3,9,53,0,0,50,49,15,8,7,1,4,55,41,0,0,0,0,0,23
State Police ,,,24,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,16,0,0,0,0,0,2
Buchanan County SO ,23631,4070.92,962,5,8,4,6,6,26,266,12,1,134,301,37,37,52,1,19,135,44,1,1,0,0,0,31
State Police ,,,53,1,0,1,0,1,1,1,1,0,1,20,4,1,10,0,0,8,10,0,0,0,0,0,1
Buckingham County SO ,16814,3693.35,621,0,3,2,9,7,20,210,6,0,99,145,14,4,6,2,2,135,44,1,0,0,0,0,13
State Police ,,,24,0,0,1,0,0,1,5,0,0,0,1,4,0,3,0,0,0,10,0,0,0,0,0,0
