COUNTY TOTAL,9243,8157,1086,2167
OTHER AGENCY TOTAL,2746,2524,222,1000
CITY TOTAL,5918,5156,762,1568
COLLEGE AND UNIVERSITY TOTAL,587,492,95,353
STATE TOTAL,18494,16329,2165,5088
