Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0,1,0,270,16
Manslaughter,0,0,2,0,2,0,11,0
Kidnaping,1,0,0,0,1,0,987,43
"Sex Offenses, Forcible",2,0,1,0,3,0,1036,242
Robbery,1,0,0,0,1,0,1623,325
Aggravated Assault,9,0,4,0,13,0,4074,459
Simple Assault/Intimidation,57,2,20,0,77,2,35350,4738
Arson,4,0,0,0,4,0,178,122
Extortion/Blackmail,1,0,0,0,1,0,44,35
Burglary,3,0,1,0,4,0,3464,1018
Larceny,76,3,75,3,151,6,24959,5647
Motor Vehicle Theft,3,0,13,1,16,1,794,236
Counterfeiting/Forgery,20,0,142,1,162,1,2277,64
Fraud,14,0,91,3,105,3,3998,117
Embezzlement,7,0,28,0,35,0,1665,55
Stolen Property,15,0,5,0,20,0,893,152
Vandalism,40,1,10,0,50,1,3529,1229
Drug/Narcotic Offenses,277,8,145,4,422,12,30074,2545
"Sex Offenses, Nonforcible",0,0,0,0,0,0,125,12
Pornography,2,0,0,0,2,0,113,24
Gambling,0,0,8,0,8,0,98,5
Prostitution,0,0,0,0,0,0,905,1
Bribery,0,0,2,0,2,0,13,0
Weapon Law Violations,8,0,165,9,173,9,3678,443
TOTAL GROUP A,541,14,712,21,1253,35,120158,17528
Bad Checks,0,0,2,0,2,0,4389,10
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,183,2417
Disorderly Conduct,89,0,31,1,120,1,4409,1309
Driving Under Influence,371,3,77,0,448,3,28794,202
Drunkenness,960,2,253,3,1213,5,34612,282
"Family Offenses, Nonforcible",3,0,17,1,20,1,1683,44
Liquor Laws Violations,824,26,1458,75,2282,101,11630,2103
Peeping Tom,1,0,0,0,1,0,69,5
Runaway,0,0,0,0,0,0,0,4534
Trespass of Real Property,283,4,241,9,524,13,10070,1173
Conspiracy,1,0,0,0,1,0,105,3
All Other (except Traffic),393,5,1748,77,2141,82,92953,7219
TOTAL GROUP B,2925,40,3827,166,6752,206,188897,19301
GRAND TOTAL,3466,54,4539,187,8005,241,309055,36829
