Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,316,264,52,129
Bedford PD,23,22,1,3
Bristol PD,55,46,9,21
Buena Vista PD,15,14,1,2
Charlottesville PD,116,104,12,28
Chesapeake PD,371,315,56,130
Clifton Forge PD,10,10,,4
Colonial Heights PD,49,44,5,4
Covington PD,17,15,2,11
Danville PD,135,112,23,9
Emporia PD,26,26,,10
Fairfax PD,65,59,6,18
Falls Church PD,32,22,10,9
Franklin PD,26,24,2,13
Fredericksburg PD,72,59,13,26
Galax PD,24,22,2,14
Hampton PD,277,229,48,71
Harrisonburg PD,87,82,5,16
Hopewell PD,56,53,3,11
Lexington PD,15,13,2,2
Lynchburg PD,169,153,16,57
Manassas PD,90,72,18,32
Manassas Park PD,31,27,4,16
Martinsville PD,53,50,3,6
Newport News PD,408,350,58,146
Norfolk PD,755,675,80,122
Norton PD,17,17,,7
Petersburg PD,96,82,14,47
Poquoson PD,22,20,2,2
Portsmouth PD,241,214,27,89
Radford PD,34,27,7,14
Richmond PD,724,618,106,148
Roanoke PD,252,229,23,50
Salem PD,66,63,3,29
Staunton PD,49,45,4,15
Suffolk PD,181,153,28,53
Virginia Beach PD,780,684,96,164
Waynesboro PD,51,43,8,9
Williamsburg PD,37,32,5,5
Winchester PD,75,67,8,26
CITY TOTAL,5918,5156,762,1568
