Offense,Number of Completed Offenses,Value Stolen
Bribery ,13,$0
Burglary ,"28,463","54,914,844"
Embezzlement ,"2,899","13,457,360"
Extortion/Blackmail ,71,"99,870"
False Pretenses/Swindle/Confidence Game ,"10,762","25,833,353"
Credit Card/ATM Fraud ,"7,157","4,822,472"
Impersonation ,"3,870","1,593,625"
Welfare Fraud ,94,"89,644"
Wire Fraud ,540,"1,509,415"
Total Fraud:,"22,423","$33,848,509"
Kidnaping/Abduction ,"1,454","90,491"
Pocket Picking ,448,"157,816"
Purse Snatching ,291,"148,566"
Shoplifting ,"29,544","6,662,447"
Theft From Building ,"20,055","21,823,228"
Theft From Coin-Operated Machine ,453,"99,587"
Theft From Motor Vehicle ,"38,275","24,167,726"
Theft of Motor Vehicle Parts/Accessories ,"15,284","5,565,496"
All Other Larceny ,"45,117","40,244,187"
Total Larceny: ,"149,467","$98,869,053"
Motor Vehicle Theft ,"10,862","67,036,793"
Robbery ,"$5,359","6,846,856"
Grand Total,"$221,011","$275,163,776"
