Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""disturbance"" calls (family quarrels, man with gun, etc.) ",328,26.8
2. Burglaries in progress or pursuing burglary suspects ,14,1.1
3. Robberies in progress or pursuing robbery suspects ,1,0.1
4. Attempting other arrests ,305,24.9
"5. Civil disorder (riot, mass disobedience) ",28,2.3
"6. Handling, transporting, custody of prisoners ",139,11.3
7. Investigating suspicious persons or circumstances ,79,6.4
8. Ambush - no warning ,12,1
9. Mentally deranged ,27,2.2
10. Traffic pursuits and stops ,110,9
11. All Other ,182,14.9
Total,1225,100
