How Offender(s) Left Scene,Number
Auto,712
Truck,37
Van,25
Motorcycle,0
Bicycle,98
Foot,2307
Moped,3
Other,38
Unknown,363
Total,3583
Note: Exit not reported for 2738 offenses.,
