TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,8009,8827.56,707,0,2,2,4,1,12,136,0,0,28,262,9,35,23,8,2,126,97,0,1,0,0,0,10
Altavista PD ,3368,6472.68,218,0,3,1,2,2,9,63,1,0,23,79,6,2,11,2,1,50,10,0,0,0,0,0,4
Amherst PD ,2219,2613.78,58,0,0,0,1,1,0,12,0,0,5,20,0,0,3,0,0,15,2,0,0,0,0,0,1
Appalachia PD ,1739,6843.01,119,0,0,1,1,0,0,21,1,0,8,55,3,1,1,0,0,29,2,0,0,0,0,0,0
Ashland PD ,7100,9281.69,659,0,1,0,4,10,20,171,0,0,21,235,17,11,35,9,1,143,70,0,1,0,2,0,9
Berryville PD ,3168,5145.2,163,1,1,0,0,0,3,35,0,0,9,72,0,0,3,1,2,41,15,0,0,0,0,0,0
Big Stone Gap PD ,5662,5351.46,303,0,3,1,4,1,7,55,0,0,19,150,7,7,5,0,1,44,46,1,0,0,0,0,2
Blacksburg PD ,41796,4323.38,1807,0,2,15,13,11,24,285,2,0,165,510,29,22,95,5,2,673,116,1,5,0,0,0,18
Blackstone PD ,3582,9771.07,350,0,6,0,1,5,9,72,1,0,22,107,6,12,9,4,0,63,59,1,0,0,0,0,8
Bluefield PD ,5143,8146.99,419,0,3,1,4,2,4,40,1,0,27,215,5,37,29,2,4,30,43,0,3,0,0,0,5
Bowling Green PD ,1021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,601,2329.45,14,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,3,3,0,0,0,0,0,2
Bridgewater PD ,5430,994.47,54,0,0,0,0,0,2,11,0,0,9,15,2,2,2,1,0,8,6,0,0,0,0,0,0
Broadway PD ,3202,655.84,21,0,0,0,1,0,1,4,0,0,1,7,3,0,0,0,1,4,2,0,0,0,0,0,1
Brookneal PD ,1249,2802.24,35,0,1,1,0,0,1,9,0,0,2,11,1,3,1,0,0,5,5,0,1,0,0,0,0
Burkeville PD ,472,4661.01,22,0,0,0,0,1,1,7,0,0,2,10,1,1,0,0,0,1,0,0,0,0,0,0,1
Cape Charles PD ,1464,1775.95,26,0,0,0,0,0,0,4,0,0,3,12,0,0,3,0,0,6,3,0,0,0,0,0,1
Cedar Bluff PD ,1043,2109.3,22,0,0,0,0,0,0,3,0,0,3,7,1,0,4,0,0,3,2,0,0,0,0,0,1
Chase City PD ,2321,5601.03,130,0,0,0,0,1,4,16,1,0,8,56,2,2,2,0,0,37,9,0,0,0,0,0,5
Chatham PD ,1518,1317.52,20,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,4,1,0,0,0,0,0,0
Chilhowie PD ,1746,3035.5,53,0,0,0,1,0,0,10,0,0,6,17,2,2,0,2,0,18,1,0,0,0,0,0,0
Chincoteague PD ,4296,3887.33,167,0,0,0,0,0,3,31,0,0,18,56,11,7,7,0,0,23,13,0,0,0,0,0,5
Christiansburg PD ,19477,8497.2,1655,2,4,10,18,7,17,507,5,1,107,604,15,37,141,34,9,221,173,3,9,0,0,0,22
Clarksville PD ,1258,3497.61,44,0,0,0,0,3,1,4,0,0,0,25,0,1,0,0,0,11,0,0,0,0,0,0,0
Clifton Forge PD ,3932,4755.84,187,0,0,1,3,1,6,30,1,0,22,66,1,1,7,1,1,37,20,0,0,0,0,0,2
Clintwood PD ,1520,3618.42,55,0,0,0,1,0,3,4,0,0,8,26,1,2,1,0,0,8,2,0,0,0,0,0,1
Coeburn PD ,1978,5460.06,108,0,0,1,3,1,2,6,1,0,11,52,2,2,1,0,1,15,16,0,0,0,0,0,2
Colonial Beach PD ,3789,4724.2,179,0,0,1,1,1,2,26,0,0,16,51,4,2,1,1,0,68,13,0,0,0,0,0,4
Crewe PD ,2284,5560.42,127,0,0,1,0,4,1,20,0,0,10,51,3,1,0,0,0,32,3,0,0,0,0,0,3
Culpeper PD ,13977,9265.22,1295,0,8,6,12,16,49,352,1,0,36,421,11,44,96,8,6,305,126,4,3,0,1,0,11
Damascus PD ,1070,5794.39,62,0,0,2,0,0,1,5,0,0,1,25,0,3,0,0,1,8,22,0,0,0,0,0,2
Dayton PD ,1353,2882.48,39,0,0,0,0,0,0,4,0,0,3,18,0,2,5,0,0,4,9,0,0,0,0,0,0
Dublin PD ,2190,6073.05,133,0,0,0,2,2,1,16,0,0,22,52,2,9,1,0,0,23,11,0,1,0,0,0,2
Dumfries PD ,4805,7554.63,363,0,5,2,1,15,6,35,0,3,35,122,21,9,11,3,0,105,15,0,13,0,0,0,6
Edinburg PD ,897,2118.17,19,0,0,1,2,0,0,5,0,0,3,5,0,2,0,0,0,2,3,0,0,0,0,0,0
Elkton PD ,2626,2551.4,67,0,0,0,0,0,0,5,0,0,4,28,1,1,3,2,0,15,9,0,0,0,0,0,2
Exmore PD ,1349,6300.96,85,0,1,0,0,1,2,3,0,0,8,34,2,10,0,0,0,21,2,0,1,0,0,0,0
Farmville PD ,7396,4002.16,296,4,1,1,1,1,10,20,0,0,15,160,4,11,19,6,1,36,29,0,1,0,0,0,4
Fries PD ,552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD ,14616,9948,1454,0,0,7,11,11,18,446,0,1,56,527,22,30,55,5,2,314,109,2,0,1,0,0,18
Gate City PD ,2052,3849.9,79,0,1,1,0,0,2,10,0,0,7,28,3,4,1,1,1,14,9,0,0,0,0,0,1
Glade Spring PD ,1520,197.36,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Glasgow PD ,1007,397.21,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Lyn PD ,163,2453.98,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Gordonsville PD ,1697,5362.4,91,0,1,0,0,0,2,13,0,0,3,17,1,4,2,0,1,39,10,0,0,0,0,0,1
Gretna PD ,1192,3775.16,45,0,0,0,1,0,3,6,0,0,7,14,1,4,2,0,0,5,2,0,0,0,0,0,0
Grottoes PD ,2190,2694.06,59,0,0,0,1,0,1,4,0,0,2,29,0,2,0,0,0,11,11,1,1,0,0,0,0
Grundy PD ,961,1040.58,10,0,0,0,0,0,0,2,0,0,1,4,0,2,0,0,0,1,1,0,0,0,0,0,0
Halifax PD ,1290,4263.56,55,1,0,0,1,0,0,10,1,0,6,23,3,1,3,1,0,8,1,0,0,0,0,0,0
Haymarket PD ,1226,4159.86,51,0,0,0,0,0,1,8,0,0,2,22,0,2,2,1,0,9,8,0,0,0,0,0,1
Haysi PD ,309,1294.49,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Herndon PD ,22045,5670.22,1250,1,10,9,7,15,25,231,0,0,27,347,25,23,92,5,2,457,54,2,3,0,1,0,5
Hillsville PD ,2650,6716.98,178,0,0,1,3,2,6,23,0,0,20,49,2,8,5,2,4,34,34,0,0,0,0,0,4
Honaker PD ,1445,2491.34,36,0,0,0,0,0,1,3,0,0,2,20,0,0,0,0,0,5,5,0,0,0,0,0,0
Hurt PD ,1214,1647.44,20,0,0,0,0,0,0,1,0,0,3,11,0,0,1,0,1,2,4,0,0,0,0,0,0
Independence PD ,895,4134.07,37,0,1,0,0,0,3,2,0,0,2,10,0,12,6,0,0,3,3,0,0,0,0,0,0
Jonesville PD ,967,4860.39,47,0,0,0,1,0,0,8,1,0,3,26,0,0,0,0,0,8,3,0,0,0,0,0,0
Kenbridge PD ,1279,2814.69,36,0,0,1,0,0,6,18,0,0,2,2,1,2,1,0,0,7,0,0,0,0,0,0,1
Kilmarnock PD ,1295,3861,50,0,0,1,1,0,1,4,0,0,9,16,2,0,1,4,0,9,4,0,0,0,0,0,0
LaCrosse PD ,589,5602.71,33,0,0,0,1,0,0,11,0,0,4,6,3,1,0,0,0,8,2,0,0,0,0,0,1
Lawrenceville PD ,1333,6676.66,89,0,0,0,2,1,0,10,1,0,35,24,0,4,4,0,0,13,7,0,0,0,0,0,4
Lebanon PD ,3196,6070.08,194,0,0,0,2,2,4,23,0,0,7,94,3,8,12,3,0,27,15,0,0,0,0,0,3
Leesburg PD ,39641,5158.8,2045,2,13,11,34,19,33,532,4,1,44,666,24,35,187,16,5,370,277,2,20,0,6,0,30
Louisa PD ,1564,4923.27,77,0,0,1,0,0,0,12,0,0,4,17,2,4,0,1,0,20,19,0,0,0,0,0,1
Luray PD ,4843,4976.25,241,0,0,0,0,2,1,31,1,0,15,115,9,1,10,2,0,65,1,0,1,0,0,0,1
Marion PD ,6001,10764.87,646,0,0,1,2,2,21,131,0,0,14,227,7,20,24,2,6,123,123,3,0,0,0,0,17
Middleburg PD ,943,2757.15,26,0,0,0,0,0,0,3,0,0,0,15,1,1,1,0,0,5,1,0,0,0,0,0,2
Middletown PD ,1141,5258.54,60,0,0,2,2,1,0,10,1,0,4,19,0,1,1,0,0,20,3,0,1,0,0,0,0
Mt. Jackson PD ,2001,3948.02,79,0,0,0,4,0,0,11,0,0,9,35,5,0,6,0,0,12,3,0,1,0,0,0,3
Narrows PD ,2148,1350.09,29,0,0,2,1,0,3,10,1,0,5,9,1,0,0,0,0,2,2,0,0,0,0,0,1
New Market PD ,1852,2213.82,41,0,0,0,1,0,1,5,0,0,6,5,2,1,6,0,0,7,9,0,0,0,0,0,1
Occoquan PD ,816,857.84,7,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0
Onancock PD ,1389,5471.56,76,0,0,0,0,0,1,15,0,0,7,26,2,1,0,0,0,19,8,0,1,0,0,0,1
Onley PD ,471,6369.42,30,0,0,0,0,0,2,5,0,0,3,12,0,1,0,0,1,4,4,0,0,0,0,0,2
Orange PD ,4629,6156.83,285,0,1,2,4,1,2,66,1,0,14,90,7,11,9,2,0,60,51,0,0,0,0,0,4
Parksley PD ,790,4303.79,34,0,0,0,0,2,0,4,0,0,1,18,0,2,0,0,0,3,3,0,0,0,0,0,1
Pearisburg PD ,2764,4956.58,137,0,0,0,2,1,2,12,1,0,7,62,2,6,11,1,0,20,17,0,2,0,0,0,2
Pembroke PD ,1163,5846.94,68,0,0,0,0,0,2,10,0,0,10,15,0,0,4,0,1,24,3,0,0,0,0,0,1
Pennington Gap PD ,1726,637.31,11,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas PD ,419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pound PD ,1072,8302.23,89,0,0,0,0,1,5,13,0,0,8,27,1,3,1,0,0,16,30,0,0,0,0,0,4
Pulaski PD ,8983,11488.36,1032,2,1,3,17,9,16,101,1,0,79,306,16,82,194,66,4,165,177,0,0,0,1,0,16
Purcellville PD ,5137,3951.72,203,0,0,0,0,1,5,50,1,0,8,57,6,2,7,4,0,61,22,1,1,0,0,0,3
Quantico PD ,607,4118.61,25,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,5,10,0,0,0,0,0,0
Remington PD ,673,2971.76,20,0,0,0,0,0,0,3,0,0,2,4,0,1,0,0,0,4,6,0,0,0,0,0,1
Rich Creek PD ,681,4992.65,34,0,0,2,1,0,0,2,0,0,0,13,1,5,3,0,0,5,7,0,0,0,0,0,0
Richlands PD ,3997,14010.5,560,1,2,0,1,2,9,130,0,0,47,158,6,73,80,6,2,73,92,0,0,0,0,0,10
Rocky Mount PD ,4535,8158.76,370,0,2,1,2,1,7,43,0,0,14,184,4,7,19,3,1,53,56,0,1,0,0,0,11
Rural Retreat PD ,1346,1114.41,15,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,8,0,0,0,0,0,0,0
Saltville PD ,2206,6165,136,0,0,0,0,0,3,22,0,0,9,35,0,2,1,0,1,42,33,0,2,0,0,0,1
Shenandoah PD ,1858,5382.13,100,0,0,0,2,0,3,9,2,0,8,37,1,2,3,1,0,30,7,0,0,0,0,0,0
Smithfield PD ,7034,6639.18,467,1,1,0,4,4,3,90,0,0,27,184,10,19,39,6,4,90,25,1,0,0,0,0,11
South Boston PD ,7884,11656.51,919,0,3,8,3,7,23,176,5,0,117,341,9,16,28,20,3,179,46,0,0,0,0,0,19
South Hill PD ,4556,9328.35,425,0,0,2,1,5,8,86,1,0,21,220,6,2,8,3,1,83,2,0,0,0,0,0,4
St. Paul PD ,968,4132.23,40,0,0,0,0,0,0,5,0,0,4,26,0,2,0,0,0,4,1,0,0,0,0,0,0
Stanley PD ,1564,4859.33,76,0,0,0,0,1,0,9,1,0,1,47,2,0,2,0,1,8,6,0,0,0,0,0,0
Stephens City PD ,1488,7728.49,115,0,0,0,3,0,0,27,1,0,9,43,5,3,1,1,0,21,3,0,0,0,0,0,3
Strasburg PD ,4373,6928.88,303,0,1,1,1,0,7,53,0,0,12,110,2,5,14,2,0,61,47,0,1,0,0,0,5
Tappahannock PD ,2195,13940.77,306,0,2,1,4,0,8,55,0,0,17,109,5,11,13,1,0,44,61,0,0,0,0,0,10
Tazewell PD ,4267,6140.14,262,0,2,0,3,1,4,71,1,0,18,74,2,24,15,4,2,48,25,1,2,0,0,0,1
Timberville PD ,1713,1926.44,33,0,1,2,1,1,2,3,1,0,5,14,0,0,1,0,0,7,0,0,0,0,0,0,0
Victoria PD ,1731,3466.2,60,0,0,1,1,3,5,14,0,0,2,21,2,1,0,1,0,9,4,0,0,0,0,0,1
Vienna PD ,14903,3992.48,595,2,1,0,4,4,5,77,0,0,28,275,8,9,47,3,1,131,56,0,1,0,3,0,5
Vinton PD ,7868,9684.79,762,0,8,3,9,3,14,236,3,1,41,225,9,18,42,5,4,119,144,0,0,0,0,0,8
Warrenton PD ,8947,7376.77,660,1,4,4,7,6,15,95,0,0,28,222,5,14,51,11,2,141,71,2,0,0,1,0,10
Warsaw PD ,1352,1183.43,16,0,0,0,0,0,0,4,0,0,1,9,0,1,0,0,0,1,2,0,0,0,0,0,0
Waverly PD ,2157,5702.36,123,0,0,0,0,3,3,19,0,0,3,14,2,2,2,0,1,10,75,0,0,0,0,0,8
Weber City PD ,1331,4357.62,58,0,0,0,0,0,0,3,0,0,2,27,0,3,2,0,1,11,15,0,0,0,0,0,0
