Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,38,75,87,90,124,115,101,672,767,726,568,391,314,155,80,86,4389
Curfew/Loitering/Vagrancy ,15,4,4,4,3,2,3,16,14,9,16,29,45,13,6,0,183
Disorderly Conduct ,330,252,243,288,250,223,210,761,462,391,345,294,188,89,47,36,4409
Driving Under the Influence ,433,714,917,1248,1249,1345,1268,5232,3748,3074,2911,2794,1889,1065,507,400,28794
Drunkenness ,875,1050,1070,1657,1462,1322,1301,5104,3645,3278,4021,4333,3130,1492,587,285,34612
"Family Offenses, Nonviolent ",41,34,48,42,51,59,62,335,242,249,204,174,84,40,12,6,1683
Liquor Laws ,2372,2512,2059,349,235,208,185,681,489,489,517,612,501,252,98,71,11630
Peeping Tom ,1,3,3,2,2,2,2,14,14,8,6,7,3,2,0,0,69
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,780,700,614,550,432,427,342,1331,877,767,879,934,717,399,207,114,10070
Conspiracy to Commit Group A Offense ,8,15,5,4,5,4,1,24,15,7,6,6,1,2,1,1,105
All Other Offenses (except most traffic) ,3045,3810,3908,4156,3970,3788,3708,16185,11802,10342,9588,8016,5174,2681,1414,1366,92953
Total,7710,9076,8716,8240,7866,7284,6563,28968,20521,18872,18678,16810,10815,5277,2431,2058,179885
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
