Month ,Stolen ,Recovered ,Percent Recovered
January,"22,506,401","4,663,676",20.7
February,"20,743,732","4,133,446",19.9
March ,"22,969,937","5,567,495",24.2
April ,"22,047,473","4,096,768",18.6
May ,"22,531,645","4,533,719",20.1
June ,"23,462,844","4,864,519",20.7
July ,"28,165,352","5,325,298",18.9
August ,"22,568,282","4,908,643",21.8
September,"22,178,916","3,932,421",17.7
October ,"24,762,223","3,682,508",14.9
November ,"21,737,848","3,427,420",15.8
December ,"21,489,123","4,135,652",19.2
Total,"$275,163,776","$53,271,565",19.4
