,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson ,103,112,111,140,96,112,140,99,116,115,105,62
"Assault, Aggrav. ",667,533,707,787,833,823,830,778,764,738,644,571
"Assault, Other ",6497,6097,7272,7404,7980,7282,7356,7474,7530,7418,6503,5945
Bribery ,4,2,3,4,2,2,1,1,0,2,1,1
Burglary ,2573,2104,2578,2554,2590,2507,2853,2675,2608,2857,2815,2527
Counterfeiting ,620,513,622,556,693,725,726,694,628,649,545,500
Destruction ,6611,6053,7032,7281,7331,7345,8230,7828,6911,6811,6245,5486
Drug ,3873,4021,4553,4134,3727,3749,3800,3882,3767,3579,2957,2910
Embezzlement ,317,229,226,214,249,276,257,248,214,243,206,227
Extortion ,8,6,12,11,16,12,9,6,10,5,10,12
Fraud ,2156,2031,2208,2163,2019,2091,2072,2316,1957,1999,1836,1663
Gambling ,10,17,12,9,8,9,12,9,4,14,2,9
"Homicide, Murder ",25,21,32,40,26,35,24,32,21,23,17,28
"Homicide, Neg. ",4,0,1,0,0,1,3,0,1,2,4,0
Kidnaping ,120,103,146,134,135,119,147,153,146,143,121,94
Larceny ,11383,10168,11946,12548,12997,13655,14077,14464,12954,13132,12167,11907
MV Theft ,939,803,936,949,999,1095,1093,1111,920,906,903,797
Pornography ,47,42,54,65,53,40,31,45,47,44,45,41
Prostitution ,66,68,97,79,88,124,156,135,80,112,66,73
Robbery ,626,406,523,514,484,538,520,513,525,588,572,512
"Forcible Sex, Rape ",111,113,130,127,129,141,129,120,127,171,118,81
"Forcible Sex, Other ",289,225,255,275,270,279,249,289,236,222,222,179
Nonforcible Sex ,26,20,11,16,14,20,25,23,9,15,12,17
Stolen Property,183,142,156,161,151,145,176,147,135,143,124,102
Weapon Laws ,772,735,861,830,826,801,831,744,717,780,768,582
Group A Offenses ,38030,34564,40484,40995,41716,41926,43747,43786,40427,40711,37008,34326
Group A Incidents ,34668,31520,36793,37461,38185,38410,39998,40186,37112,37257,33819,31236
"Assaults, Other includes simple assaults and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other: includes forcible sodomy, forcible sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
