COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,95247,4415.88,4206,0,9,18,44,27,63,1000,11,1,248,1719,119,62,338,34,17,1045,430,1,13,0,4,0,67
State Police ,,,64,0,0,0,0,0,0,2,0,0,0,3,0,2,13,0,0,0,43,0,0,0,0,0,4
Arlington County PD ,212038,4113.41,8722,2,24,16,85,149,157,877,2,5,319,4325,296,166,1087,74,78,1218,631,1,10,4,31,1,51
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD ,307594,5629.49,17316,2,47,44,201,230,231,5326,72,5,1837,5620,416,234,1242,126,49,4247,1253,8,33,5,54,0,471
State Police ,,,283,0,0,0,1,1,13,7,0,0,0,7,1,82,54,0,1,1,142,0,0,0,0,0,17
Fairfax County PD ,999525,3654.43,36527,10,384,69,100,277,235,6680,74,7,1292,15030,869,262,2594,192,342,9059,2565,1,43,6,97,0,464
State Police ,,,208,0,0,0,1,0,9,10,0,0,0,17,18,6,43,1,0,9,97,0,0,0,1,0,3
Henrico County PD ,296490,5631.55,16697,12,73,30,27,267,205,3333,65,2,1476,6601,464,326,684,188,49,3514,1225,4,6,5,44,0,240
State Police ,,,154,0,0,1,0,0,4,6,0,1,1,9,1,11,51,0,1,1,97,0,0,0,0,0,17
James City County PD ,63696,4107,2616,0,11,13,30,15,44,779,8,2,151,833,32,68,215,32,9,583,198,0,2,0,0,0,51
State Police ,,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,1
Prince George County PD ,38393,3094.31,1188,1,2,9,8,14,14,268,1,0,115,375,34,6,63,4,10,303,135,2,1,0,3,0,22
State Police ,,,20,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,2
Prince William County PD ,379480,4427.9,16803,11,76,45,163,267,340,3402,47,7,1052,6190,520,240,1045,94,142,2786,1815,22,10,2,30,3,201
State Police ,,,264,0,1,0,0,1,6,6,0,1,1,7,10,5,43,1,6,4,176,0,0,0,0,0,9
Roanoke County PD ,85123,3706.4,3155,1,27,21,38,19,81,971,10,6,289,953,47,45,229,29,3,450,411,1,13,0,3,0,49
State Police ,,,40,0,0,0,0,0,1,0,0,2,0,2,0,2,21,0,0,0,13,0,0,0,0,0,1
