Circumstances of Aggravated Assaults,Number
Argument,3827
Assault on Law Officer,334
Drug Dealing,48
Gangland,46
Juvenile Gang,27
Lover's Quarrel,424
Other Felony Involved,59
Other Circumstances,1876
Unknown Circumstances,3365
(Up to 2 circumstances can be reported for each victim.),
