Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD ,,,192,0,0,1,0,0,2,14,2,0,1,103,0,5,2,0,0,41,44,0,0,0,0,0,1
Emory & Henry College PD ,,,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrum College PD ,,,72,0,0,0,0,1,4,15,0,0,3,26,0,0,3,0,0,18,11,0,0,0,0,0,1
George Mason University PD ,,,446,0,2,1,2,1,1,42,1,0,6,250,5,12,24,1,7,71,87,0,0,0,0,0,3
Hampton University PD ,,,153,0,0,1,1,2,0,12,0,1,37,71,1,1,6,0,0,19,2,0,0,0,0,0,1
J. Sargeant Reynolds Community College PD0 ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison University PD ,,,373,0,0,2,1,0,5,16,0,0,12,189,1,2,28,1,2,116,33,0,0,0,0,0,1
Longwood University PD ,,,120,0,0,3,1,0,1,13,0,0,10,47,2,0,1,0,0,37,8,0,0,0,0,0,0
Norfolk State University PD ,,,256,0,0,2,1,2,6,17,4,0,50,95,4,2,12,0,0,58,9,0,1,0,0,0,0
N. Virginia Community College PD ,,,247,0,0,0,0,0,4,20,0,0,1,182,2,0,0,0,0,49,2,0,0,0,0,0,0
Old Dominion University PD ,,,433,0,1,2,1,1,9,45,0,0,21,218,5,1,3,0,3,112,20,0,0,0,0,0,3
Radford University PD ,,,242,0,0,1,0,0,3,20,0,0,5,98,0,1,8,1,1,87,35,0,0,0,0,0,0
Richard Bland College PD9 ,,,21,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,1
Thomas Nelson Community College PD ,,,23,0,0,0,0,1,0,1,0,0,0,13,0,0,2,0,0,5,1,0,0,0,0,0,0
University of Mary Washington PD3 ,,,42,0,0,0,2,0,1,3,0,0,1,21,1,0,0,0,1,12,1,0,0,0,0,0,0
University of Richmond PD ,,,288,0,0,1,0,0,2,8,0,0,14,101,16,0,3,0,1,146,15,0,0,0,0,0,0
University of Virginia PD ,,,598,0,0,2,3,2,6,50,2,1,78,304,9,5,18,2,0,101,67,0,1,0,0,0,4
UVA's College at Wise PD ,,,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD ,,,1003,0,0,1,2,5,7,107,2,1,12,560,19,13,25,4,2,115,166,0,0,0,0,0,39
Virginia Tech University PD ,,,394,1,0,1,4,0,0,40,3,0,34,173,5,13,3,2,2,108,43,0,1,0,0,0,3
VA Western Community College PD ,,,14,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0
Virginia Military Institute PD ,,,50,0,0,1,0,0,0,1,0,0,15,15,0,0,0,0,1,17,0,0,0,0,0,0,0
Virginia State University PD ,,,280,0,0,0,1,6,6,28,0,0,3,171,4,1,2,0,15,42,14,0,0,1,0,0,2
William & Mary College PD ,,,396,0,0,3,0,1,6,15,1,0,17,241,0,3,7,1,3,108,8,0,0,0,0,0,0
