Rank,Name,Year
1,Honda Accord,1994
2,Honda Civic,2000
3,Jeep Cherokee/Grand Cherokee,1996
4,Dodge Caravan,1994
5,Toyota Camry,1990
6,Ford Taurus,2006
7,Ford Explorer,1996
8,Plymouth Voyager,1994
9,Ford F150 Series,1994
10,Toyota Corolla,2006
