Rank,Name,Year
1,Honda Accord,1997
2,Ford Pickup (Full Size),2005
3,Nissan Altima,2012
4,Toyota Camry,2013
5,Honda Civic,1998
6,Chevrolet Pickup (Full Size),2000
7,Ford Explorer,2002
8,Jeep Cherokee/Grand Cherokee,1998
8,Toyota Corolla,2005
9,Dodge Caravan,2005
