2013 Rank,CBSA,MSA Name,2013 Thefts,2013 Rate
145,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","10,468",175.94
175,40060,"Richmond, VA Metropolitan Statistical Area","1,906",153
188,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","2,488",145.72
272,28700,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",310,100.56
282,40220,"Roanoke, VA Metropolitan Statistical Area",293,93.96
355,49020,"Winchester, VA-WV Metropolitan Statistical Area",65,49.25
362,44420,"Staunton-Waynesboro, VA Metropolitan Statistical Area",53,44.34
363,16820,"Charlottesville, VA Metropolitan Statistical Area",98,43.74
364,31340,"Lynchburg, VA Metropolitan Statistical Area",112,43.67
369,13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",65,36.04
380,25500,"Harrisonburg, VA Metropolitan Statistical Area",27,20.91
