Circumstances of Aggravated Assaults,Number
Argument,4185
Assault on Law Officer,578
Drug Dealing,54
Gangland,39
Juvenile Gang,53
Lover’s Quarrel,362
Other Felony Involved,59
Other Circumstances,2302
Unknown Circumstances,3570
(Up to 2 circumstances can be reported for each victim.),
