Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to “disturbance” calls (family quarrels, man with gun, etc.)",400,30.1
2. Burglaries in progress or pursuing burglary suspects,15,1.1
3. Robberies in progress or pursuing robbery suspects,3,0.2
4. Attempting other arrests,329,24.8
"5. Civil disorder (riot, mass disobedience)",23,1.7
"6. Handling, transporting, custody of prisoners",152,11.4
7. Investigating suspicious persons or circumstances,92,6.9
8. Ambush - no warning,1,0.1
9. Mentally deranged,23,1.7
10. Traffic pursuits and stops,108,8.1
11. All Other,183,13.8
12. Total,1329,99.9
