Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,136732,5131.93,7017,7,23,18,14,163,183,1326,4,3,371,2635,376,71,363,85,110,1777,492,0,1,15,21,0,84
State Police ,,,10,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,3,1,0,0,0,0,1
Bedford PD ,6111,8803.79,538,0,3,5,18,1,6,195,0,1,19,102,10,24,34,1,0,95,84,0,0,0,0,0,11
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol PD ,17393,10757.2,1871,0,3,11,23,17,49,416,5,1,106,608,36,129,135,17,13,369,143,3,2,0,2,2,27
State Police ,,,9,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,3,1,0,0,0,0,0,0
Buena Vista PD ,6552,2335.16,153,0,0,2,5,0,5,26,1,0,0,67,2,3,6,0,0,28,12,0,0,0,0,0,3
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Charlottesville PD ,41274,10912.43,4504,3,25,26,26,93,151,1018,10,3,284,1554,141,52,166,39,4,1401,295,1,1,0,4,0,76
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
Chesapeake PD ,216568,7079.53,15332,12,102,79,159,329,571,5044,27,0,1270,5612,495,213,1081,161,44,316,1958,5,6,4,10,1,360
State Police ,,,44,0,1,0,0,0,0,2,0,0,0,0,1,2,4,0,0,0,38,0,0,0,0,0,0
Colonial Heights PD ,17463,8675.48,1515,0,16,2,12,23,23,183,14,0,43,646,48,50,108,52,10,190,213,0,1,0,0,0,46
State Police ,,,38,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,10,0,0,0,0,0,1
Covington PD ,5865,7962.48,467,0,2,4,4,1,8,142,3,0,28,132,9,1,16,1,0,121,30,0,0,0,0,0,5
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Danville PD ,45385,12098.71,5491,5,21,9,1,98,94,1398,19,1,552,1829,111,83,224,35,3,1055,439,0,2,0,11,0,134
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1
Emporia PD ,5591,15471.29,865,1,4,1,2,16,48,169,1,0,73,302,15,32,28,8,2,182,82,1,0,0,0,0,13
State Police ,,,25,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0
Fairfax PD ,23215,5612.75,1303,1,7,9,12,11,19,281,5,0,53,528,40,12,85,14,5,244,61,0,2,0,2,0,13
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Falls Church PD ,11280,6161.34,695,0,2,2,6,16,14,110,2,0,31,291,26,3,35,3,1,169,37,0,0,1,0,0,3
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Franklin PD ,8501,12786.73,1087,1,0,1,4,6,27,336,2,0,84,290,33,12,19,13,7,274,117,0,0,3,0,0,40
State Police ,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD ,22218,12480.87,2773,3,19,14,17,40,93,622,9,0,101,946,73,37,175,50,5,601,303,2,4,0,8,0,49
State Police ,,,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
Galax PD ,6791,10587.54,719,1,3,2,11,0,17,179,2,0,27,261,15,38,29,5,3,156,65,1,0,0,0,0,8
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
Hampton PD ,145862,8099.43,11814,6,41,52,112,252,215,2176,34,2,772,3728,519,103,606,159,38,2419,1484,8,10,0,0,0,477
State Police ,,,105,0,0,0,0,0,6,1,0,0,0,3,1,2,49,0,0,1,34,0,0,0,0,0,11
Harrisonburg PD ,44707,6419.57,2870,0,17,11,21,37,102,528,5,1,257,892,74,73,172,34,16,831,306,3,3,0,2,0,63
State Police ,,,194,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,1,186,0,0,0,0,0,4
Hopewell PD ,22695,11328.48,2571,2,10,10,18,53,104,711,13,2,202,671,111,45,82,8,7,590,237,1,2,0,1,0,90
State Police ,,,10,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,0,0,0
Lexington PD ,7261,2520.31,183,0,3,0,0,1,5,29,0,1,15,74,4,1,9,1,0,41,19,0,0,0,0,0,1
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD ,69738,9429.57,6576,1,50,23,72,83,230,2160,17,1,473,1965,172,66,272,54,26,1235,837,1,2,5,2,0,190
State Police ,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,1
Manassas PD ,36528,7911.73,2890,2,65,16,35,58,121,678,8,1,181,870,106,56,233,19,7,589,294,2,1,0,2,0,53
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Manassas Park PD ,13950,4637.99,647,1,3,8,9,6,13,109,2,0,21,181,37,13,19,5,7,170,100,0,0,0,0,0,22
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,14611,9855.58,1440,2,1,10,10,11,28,283,5,0,94,486,36,29,46,10,0,301,136,0,0,0,0,0,30
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0
Newport News PD ,182478,10564.56,19278,28,101,91,175,517,602,4741,79,2,1542,5226,688,362,930,108,60,3756,1894,6,9,4,95,0,957
State Police ,,,70,0,0,0,0,0,3,1,0,0,0,3,2,0,24,1,0,1,37,0,0,0,0,0,0
Norfolk PD ,235987,10038.68,23690,48,64,97,196,915,875,3839,36,1,1700,8833,1020,224,746,119,42,4131,1299,11,4,6,98,0,189
State Police ,,,80,0,0,0,0,0,2,1,0,0,0,5,1,0,48,0,1,2,22,0,0,0,0,0,10
Norton PD ,3769,11010.87,415,0,3,1,0,0,6,41,2,0,22,235,2,9,12,3,1,77,56,0,0,0,0,0,9
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,31588,17661.77,5579,7,91,17,42,212,264,1168,14,1,698,1432,303,117,162,33,19,1898,382,5,0,1,9,0,223
State Police ,,,43,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,1,0,36,0,0,0,0,0,1
Poquoson PD ,11948,3398.05,406,0,4,1,1,0,15,82,2,0,20,124,10,6,9,2,3,114,57,1,1,0,0,0,3
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Portsmouth PD ,98543,12479.83,12298,17,78,36,21,328,429,2949,18,2,1110,3696,318,116,476,55,70,3146,1111,2,3,8,38,1,401
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,5,0,0,0,0,0,0
Radford PD ,15593,9343.93,1457,0,5,8,18,5,27,314,5,1,121,362,22,22,67,6,5,401,229,1,0,0,1,0,25
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Richmond PD ,195300,12256.01,23936,52,105,53,97,979,765,4917,49,7,1877,5887,1309,295,584,122,13,5293,2715,5,1,2,58,1,763
State Police ,,,111,1,1,0,2,0,5,4,0,0,0,10,2,2,15,0,1,4,77,0,0,0,0,0,8
Roanoke PD ,93504,15060.31,14082,4,51,55,55,266,586,4340,28,1,1024,3707,354,181,377,76,10,2576,1774,2,9,1,72,1,341
State Police ,,,55,0,0,0,0,0,0,1,1,0,0,2,0,2,23,0,0,2,27,0,0,0,0,0,0
Salem PD ,25040,5906.54,1479,0,5,3,14,9,14,317,2,0,89,638,39,47,89,18,7,359,149,0,0,0,0,0,32
State Police ,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0
Staunton PD ,22937,9264.5,2125,0,5,4,6,19,48,323,6,1,99,602,32,74,166,22,11,538,239,2,7,0,3,0,37
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Suffolk PD ,81209,7758.99,6301,2,29,25,42,85,222,1704,16,1,460,1937,126,103,201,35,19,1344,459,5,1,2,1,0,188
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Virginia Beach PD ,433033,7064.35,30591,16,59,91,192,563,433,7123,171,13,2081,10348,590,339,1288,313,77,5504,3449,10,14,4,84,4,737
State Police ,,,77,0,0,0,0,0,1,0,0,0,0,4,0,3,40,1,0,0,29,0,0,0,0,0,7
Waynesboro PD ,20405,7699.09,1571,1,15,7,13,17,54,379,9,0,98,539,39,48,98,17,5,336,121,0,1,0,0,0,42
State Police ,,,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Williamsburg PD ,13245,4635.71,614,0,6,4,8,20,6,130,1,0,18,224,20,12,27,8,0,87,86,1,0,0,1,0,17
State Police ,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0
Winchester PD ,25896,12098.39,3133,1,9,10,37,35,60,691,4,0,176,1008,74,91,152,44,34,790,448,0,1,0,1,0,53
State Police ,,,137,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7,129,0,0,0,0,0,1
