Type of Property ,Stolen ,Recovered ,Recovered
Aircraft ,"22,420",200,0.9
Alcohol ,"178,915","14,863",8.3
Automobiles ,"72,377,539","44,080,032",61
Bicycles ,"1,744,427","191,443",11
Buses ,"316,610","316,400",99.9
Clothing/Furs ,"3,472,366","635,700",18
Computer Hardware/Software ,"15,391,103","839,559",6
Consumable Goods ,"1,581,166","330,751",21
Credit/Debit Cards ,N/A ,N/A ,N/A
Drugs/Narcotics ,"260,008","11,645",5
Drug/Narcotic Equipment ,"17,764","7,338",41.3
Farm Equipment ,"1,206,677","407,327",33.8
Firearms ,"2,793,911","260,917",9
Gambling Equipment ,"82,790",188,
Heavy Construction/Industrial Equipment  ,"8,349,506","1,572,502",19
Household Goods ,"2,762,588","94,314",3
Jewelry/Precious Metals ,"24,742,583","1,444,471",6
Livestock ,"279,992","11,650",4
Merchandise ,"5,715,668","957,467",17
Money ,"49,400,761","1,067,323",2
Negotiable Instruments ,"7,195,994","172,067",2.4
Nonnegotiable Instruments ,N/A ,N/A ,N/A
Office-Type Equipment ,"633,204","46,485",7
Other Motor Vehicles ,"11,313,619","4,157,865",36.8
Purses/Handbags/Wallets ,"1,189,049","104,019",9
Radios/TVs/VCRs ,"8,798,360","519,118",6
Recordings-Audio/Visual ,"3,672,448","210,613",5.7
Recreational Vehicles ,"2,441,154","1,213,995",50
Structures-Single Occupancy ,"564,312","31,800",6
Structures-Other Dwellings ,"24,925",,--
Structures-Other ,,,
Commercial/Business ,"29,474","1,500",5.1
Structures-Industrial/ ,,,
Manufacturing ,"17,120",0,--
Structures-Public/Community ,682,,--
Structures-Storage ,"11,145",,--
Structures-Other ,"251,608","5,215",2
Tools ,"11,532,331","430,254",4
Trucks ,"16,902,465","10,504,731",62
Vehicle Part/Accessories ,"8,546,460","$495,709",$6
Watercraft ,"1,627,388","191,727",11.8
Other ,"44,843,401","2,383,504",5.3
Total,"$310,291,933","$72,712,692",23.4
