Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negl. Mansl.,17,0,14
Aggravated Assault,1316,17,177
Forcible Rape,260,6,67
Forcible Sodomy,44,12,13
Sexual Aslt w/Object,31,0,9
Forcible Fondling,116,39,20
Robbery,145,3,48
Total,1929,77,348
