Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,16,13,3,5
Emory & Henry College PD,2,2,,2
Ferrum College PD,7,4,3,
George Mason Univ. PD,43,33,10,18
Hampton University PD,21,18,3,15
James Madison Univ. PD,24,21,3,8
J. Sargeant Reynolds CC PD,8,6,2,6
Longwood University PD,15,13,2,5
Norfolk State University PD,25,18,7,16
Northern Va. CC PD,33,29,4,1
Old Dominion University PD,46,39,7,9
Radford University PD,20,19,1,6
Thomas Nelson College PD,11,9,2,5
U. of Mary Washington PD,11,9,2,9
University of Richmond PD,18,15,3,14
University of Virginia PD,55,41,14,62
UVA’s College at Wise PD,8,7,1,1
Va. Commonwealth U. PD,78,62,16,93
Va. Military Institute PD,7,7,,
Virginia State Univ. PD,21,13,8,16
Virginia Tech University PD,40,34,6,22
Va. Western CC PD,6,6,,
William & Mary College PD,18,18,,5
COLLEGE AND UNIVERSITY TOTAL,533,436,97,318
