Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5671,3285,8314,9001,10689,8032,4671
Tuesday,4820,3050,7644,8675,10266,8030,4284
Wednesday,4978,3018,7450,8746,10235,8141,4312
Thursday,5304,3046,7436,8821,10405,8189,4390
Friday,5581,3144,7755,9751,13117,9948,4846
Saturday,6931,2476,6250,8525,9721,9766,4220
Sunday,7312,2151,5202,7292,8101,7536,3766
