,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,139,117,166,143,134,141,155,128,141,141,117,139
"Assault, Aggrav.",726,685,770,803,977,911,910,868,838,793,699,709
"Assault, Other",6768,5909,7435,7318,8106,7519,7405,7208,7554,7576,6474,6565
Bribery,2,1,3,2,1,1,2,0,1,0,2,2
Burglary,2495,1970,2318,2473,2850,2707,2893,2833,2699,2754,2730,2809
Counterfeiting,605,549,735,651,652,662,650,621,587,643,587,531
Destruction,7539,6085,7659,7785,8131,8628,8966,8485,7834,8221,7635,7412
Drug,4178,3834,4633,4106,4137,4005,4025,4196,3945,3864,3609,3257
Embezzlement,321,244,292,295,353,342,315,350,307,346,350,365
Extortion,7,7,14,15,5,7,9,7,10,9,9,9
Fraud,1991,1780,2087,2007,2051,2069,2044,2183,1888,1915,1686,1721
Gambling,6,3,7,8,4,5,8,6,13,4,4,3
Murder/Nonneglig.,24,20,29,25,34,38,31,39,26,27,26,34
Murder/Negligent,1,2,2,2,1,3,2,1,2,1,0,1
Kidnaping,163,130,158,141,152,182,171,167,159,171,143,118
Larceny,11313,9601,11530,11746,13222,13430,13618,13604,12592,12937,12371,12234
MV Theft,1284,912,1050,1164,1237,1284,1248,1310,1135,1141,1194,1128
Pornography,33,35,26,37,38,28,28,20,25,51,23,22
Prostitution,81,52,70,71,73,55,84,103,88,70,44,34
Robbery,645,543,644,561,648,664,651,688,592,663,720,722
"Forcible Sex,Rape",142,132,127,151,145,180,150,161,151,132,142,117
"Forcible Sex,Other",286,231,318,303,309,260,279,263,253,307,272,198
Nonforcible Sex,21,15,21,18,8,26,18,20,17,19,8,15
Stolen Property,134,151,157,145,161,137,174,146,161,144,144,142
Weapon Laws,916,789,934,938,977,831,937,856,866,883,820,821
Group A Offenses,39820,33797,41185,40908,44406,44115,44773,44263,41884,42812,39809,39108
Group A Incidents,36126,30695,37537,37179,40559,40311,40851,40430,38203,39132,36317,35685
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
