Month ,Stolen ,Recovered ,Percent Recovered
January ,"28,424,778","6,547,780",23
February ,"20,598,358","4,433,397",21.5
March ,"22,786,709","5,549,806",24.4
April ,"26,431,761","6,602,597",25
May ,"25,413,358","6,336,281",24.9
June ,"28,148,629","6,751,449",24
July ,"27,495,655","6,635,585",24.1
August ,"28,361,042","7,447,773",26.3
September ,"25,498,273","6,359,172",24.9
October ,"28,099,059","5,340,784",19
November ,"24,915,117","5,562,553",22.3
December ,"24,119,194","5,145,515",21.3
Total,"$310,291,933","$72,712,692",23.4
