Location,Total Offenses
Air/Bus/Train Terminal,1
Bank/Savings and Loan,2
Bar/Night Club,1
Church/Synagogue/Temple,12
Commercial/Office Building,35
Construction Site,22
Convenience Store,8
Department/Discount Store,9
Drug Store/Dr Office/Hospital,5
Field/Woods,190
Government/Public Building,33
Grocery/Supermarket,2
Highway/Road/Alley,164
Hotel/Motel/Etc.,5
Jail/Prison,2
Lake/Waterway,8
Liquor Store,0
Parking Lot/Garage,95
Rental Storage Facility,7
Residence/Home,733
Restaurant,13
School/College,101
Service/Gas Station,2
Specialty Store,13
Other/Unknown,198
