Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,2,37,73,112
Stolen Property Offenses,3,7,42,64,46,62,224
Destruction/Damage/Vandalism,24,176,462,332,301,318,1613
Drug/Narcotic Violations,5,36,334,478,810,1281,2944
Drug Equipment Violations,0,0,7,7,9,7,30
Incest,0,0,1,1,0,0,2
Statutory Rape,0,0,1,1,3,14,19
Pornography/Obscene Material,0,1,1,1,0,1,4
Betting/Wagering,0,0,1,2,2,2,7
Operating/Promoting/Assisting Gambling,0,0,0,0,3,0,3
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,0,1,1
Assisting or Promoting Prostitution,0,0,0,0,0,0,0
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,6,64,170,126,150,181,697
Total Group A Arrests,142,1315,4300,3607,4343,4996,18703
Bad Checks,0,0,1,0,0,3,4
Curfew/Loitering/Vagrancy Violations,6,64,472,502,745,868,2657
Disorderly Conduct,1,129,542,442,503,398,2015
Driving Under the Influence,6,0,2,11,42,139,200
Drunkenness,2,2,14,45,69,97,229
"Family Offenses, Nonviolent",0,2,7,12,7,4,32
Liquor Law Violations,2,10,136,281,590,1011,2030
Peeping Tom,0,0,0,1,0,1,2
Runaway,15,217,1269,1285,1608,1362,5756
Trespass of Real Property,4,53,279,282,317,378,1313
Conspiracy to Commit Group A Offense,0,0,0,0,2,6,8
Conspiracy to Commit Group B Offense,0,0,1,0,1,0,2
All Other Offenses,36,323,1459,1688,2266,2385,8157
Total Group B Arrests,72,800,4182,4549,6150,6652,22405
