Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,370,176,158,425,546,360,390,368,499,398,357,322,488
Tuesday,344,136,144,414,552,331,349,313,482,423,364,292,445
Wednesday,321,162,118,392,523,349,337,343,497,408,352,303,437
Thursday,325,170,138,413,500,313,343,357,455,430,350,308,451
Friday,328,204,147,371,518,361,401,405,698,554,355,342,482
Saturday,387,242,161,172,283,281,381,313,426,366,361,376,394
Sunday,400,246,150,132,227,243,337,286,351,345,302,302,360
TOTAL,2475,1336,1016,2319,3149,2238,2538,2385,3408,2924,2441,2245,3057
