Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,319,266,53,121
Bedford PD,27,26,1,4
Bristol PD,53,46,7,22
Buena Vista PD,14,13,1,2
Charlottesville PD,109,98,11,27
Chesapeake PD,370,320,50,142
Clifton Forge PD,10,10,,5
Colonial Heights PD,45,41,4,4
Covington PD,14,13,1,11
Danville PD,129,111,18,8
Emporia PD,26,26,,10
Fairfax PD,57,53,4,22
Falls Church PD,33,22,11,10
Franklin PD,24,24,,12
Fredericksburg PD,70,61,9,27
Galax PD,24,22,2,16
Hampton PD,281,235,46,119
Harrisonburg PD,80,76,4,15
Hopewell PD,53,49,4,16
Lexington PD,17,15,2,2
Lynchburg PD,150,142,8,67
Manassas PD,93,76,17,27
Manassas Park PD,32,29,3,9
Martinsville PD,50,47,3,7
Newport News PD,394,335,59,147
Norfolk PD,714,631,83,123
Norton PD,18,18,,6
Petersburg PD,105,94,11,32
Poquoson PD,21,19,2,4
Portsmouth PD,245,219,26,93
Radford PD,33,28,5,11
Richmond PD,702,605,97,228
Roanoke PD,251,229,22,54
Salem PD,64,61,3,27
Staunton PD,53,49,4,16
Suffolk PD,174,150,24,61
Virginia Beach PD,800,700,100,162
Waynesboro PD,48,41,7,8
Williamsburg PD,37,31,6,16
Winchester PD,68,58,10,14
City Total,5807,5089,718,1707
