Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder ,2,0,0,0,2,0,256,19
Negligent Manslaughter ,0,0,0,0,0,0,12,2
Kidnaping ,1,0,0,0,1,0,890,57
"Sex Offenses, Forcible ",2,0,0,0,2,0,1029,272
Robbery ,2,0,0,0,2,0,1569,524
Aggravated Assault ,5,0,5,0,10,0,4194,608
Simple Assault/Intimidation ,61,2,22,2,83,4,33238,5070
Arson ,3,0,0,0,3,0,163,217
Extortion/Blackmail ,0,0,0,0,0,0,22,24
Burglary ,10,0,0,0,10,0,3247,1244
Larceny ,74,0,25,2,99,2,19046,4603
Motor Vehicle Theft ,2,1,9,0,11,1,800,244
Counterfeiting/Forgery ,9,1,11,2,20,3,2274,58
Fraud ,13,0,40,3,53,3,3518,105
Embezzlement ,4,0,4,0,8,0,1821,112
Stolen Property ,8,1,2,0,10,1,838,224
Vandalism ,20,0,5,2,25,2,3484,1613
Drug/Narcotic Offenses ,216,6,115,10,331,16,32546,2974
"Sex Offenses, Nonforcible ",0,0,1,0,1,0,108,21
Pornography ,0,0,0,0,0,0,96,4
Gambling ,0,0,1,0,1,0,188,10
Prostitution ,0,0,1,0,1,0,648,1
Bribery ,0,0,0,0,0,0,9,0
Weapon Law Violations ,13,0,49,0,62,0,3362,697
TOTAL GROUP A ,445,11,290,21,735,32,113358,18703
Bad Checks ,2,0,1,0,3,0,5287,4
Curfew/Loitering/Vagrancy ,0,6,0,0,0,6,81,2657
Disorderly Conduct ,84,4,22,8,106,12,5182,2015
Driving Under Influence ,320,1,80,0,400,1,25440,200
Drunkenness ,915,1,219,2,1134,3,30136,229
"Family Offenses, Nonforcible ",4,0,1,0,5,0,1653,32
Liquor Laws Violations ,954,59,1342,76,2296,135,10148,2030
Peeping Tom ,2,0,0,0,2,0,61,2
Runaway ,0,0,0,0,0,0,0,5756
Trespass of Real Property ,229,1,28,0,257,1,8904,1313
Conspiracy ,0,0,1,0,1,0,132,10
All Other (except Traffic) ,439,10,579,44,1018,54,90840,8157
TOTAL GROUP B ,2949,82,2273,130,5222,212,177864,22405
GRAND TOTAL ,3394,93,2563,151,5957,244,291222,41108
