COUNTY TOTAL,9074,7998,1076,2199
OTHER AGENCY TOTAL,2667,2464,203,1001
CITY TOTAL,5807,5089,718,1707
COLLEGE AND UNIVERSITY TOTAL,533,436,97,318
State Total,18081,15987,2094,5225
