Classification,Number of Offenses
Pocket Picking,362
Purse Snatching,344
Shoplifting,22684
Theft From Building,23532
Theft From Coin-Operated Machine or Device,638
Theft From Motor Vehicles,32823
Theft of Motor Vehicle Parts & Accessories,13313
All Other Larceny,54502
TOTAL,148198
