Age,Number,Percent Distribution
Under 10,214,0.06
10--12 ,2115,0.64
13--14 ,8482,2.55
15,8156,2.45
16,10493,3.16
17,11648,3.5
18,15323,4.61
19,16059,4.83
20,15418,4.64
21,14352,4.32
22,13541,4.07
23,12170,3.66
24,11281,3.39
25-29 ,47118,14.18
30-34 ,32684,9.83
35-39 ,31244,9.4
40-44 ,30119,9.06
45-49 ,24425,7.35
50-54 ,14463,4.35
55-59 ,6953,2.09
60-64 ,3155,0.95
65 & Over ,2917,0.88
Total,332330,100
