Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks ,2289,3002,68.61
Curfew/Loitering/Vagrancy Violations ,1883,855,35.5
Disorderly Conduct ,5021,2176,93.32
Driving Under the Influence ,20462,5178,332.46
Drunkenness ,25726,4639,393.73
"Family Offenses, Nonviolent ",1188,497,21.85
Liquor Law Violations ,8843,3335,157.91
Peeping Tom ,62,1,0.82
Runaway ,2678,3078,74.64
Trespass of Real Property ,8129,2088,132.48
Conspiracy to Commit Group A Offense ,81,26,1.39
Conspiracy to Commit Group B Offense ,29,6,0.45
All Other Offenses (except most traffic) ,72537,26460,1283.66
Total ,148928,51341,2596.82
