Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,29,17,10,11,25,18,16,23,22,25,17,26,27
Tuesday,30,15,12,5,14,16,19,23,25,20,24,21,5
Wednesday,30,18,11,8,4,12,16,21,20,24,27,20,10
Thursday,20,10,12,9,12,11,23,19,30,26,32,16,7
Friday,19,20,11,8,6,9,11,19,32,14,31,26,12
Saturday,28,26,16,12,4,12,19,14,23,26,21,24,8
Sunday,26,27,15,12,6,13,17,23,36,27,16,33,16
TOTAL,182,133,87,65,71,91,121,142,188,162,168,166,85
