Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,4,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,1,0,4,1,0,0,0,0,0,0,3,1,2,0,1,0,1,1,18,2,16,2,0,0,22,0,1,0,7,0,0,0,49,1,4,0,0,0,0,0,3,0,13,2,2,0,0,0,1,0,167,10
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Kidnaping,4,0,1,0,0,0,0,0,7,0,29,1,2,1,1,0,4,0,2,0,1,0,0,0,0,0,16,0,2,0,36,6,10,0,10,0,0,0,29,0,4,0,1,1,0,0,16,3,41,3,1,0,39,0,1,1,36,1,4,0,79,5,28,5,4,0,6,1,18,0,49,2,11,0,4,0,1,0,497,30
"Sex Offenses, Forcible",19,4,5,3,3,0,3,2,8,1,26,2,7,0,0,0,1,1,0,2,0,0,2,0,0,0,11,0,2,0,39,22,6,0,3,0,0,0,9,2,8,1,2,0,3,2,34,25,70,8,0,0,15,2,0,0,15,2,3,0,49,4,18,2,3,7,7,2,10,2,66,22,7,1,3,1,8,0,465,120
Robbery,45,15,2,0,5,1,0,0,20,6,60,9,16,9,0,0,16,3,4,1,0,0,1,0,0,0,20,0,0,0,78,46,4,4,18,1,0,0,17,5,12,7,2,0,2,1,89,55,78,24,0,0,34,9,0,0,47,8,0,0,172,30,67,16,5,2,3,1,18,2,102,71,7,0,6,0,3,3,953,329
Aggravated Assault,87,8,2,0,39,1,2,0,31,6,164,9,10,1,3,0,17,0,19,6,1,0,3,0,19,2,39,0,9,0,121,18,34,1,22,0,3,0,40,5,33,4,5,0,16,1,188,42,102,13,3,0,111,21,1,1,105,16,10,0,379,22,220,37,12,2,23,2,48,2,119,34,37,7,4,0,16,3,2097,264
Simple Assault/Intimidation,448,80,76,7,156,10,20,0,269,9,1349,34,109,21,58,7,633,5,76,10,15,5,32,2,140,9,222,4,65,4,847,193,163,23,257,1,19,0,754,40,168,11,41,3,188,34,1300,278,895,44,24,1,621,49,25,7,975,26,137,3,1537,303,1074,138,152,18,190,23,436,9,3079,757,176,19,73,19,201,33,17000,2239
Arson,0,0,0,0,2,0,1,0,0,0,2,3,0,5,0,3,1,0,1,0,0,0,1,0,1,0,2,1,0,0,4,2,1,1,1,0,0,0,1,1,0,0,0,0,0,1,8,15,1,1,0,0,1,0,0,0,1,0,0,0,8,9,4,4,1,0,0,0,0,0,6,23,3,0,0,0,4,0,55,69
Extortion/Blackmail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,9,23
