Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,87,120,138,168,173,192,191,992,1033,936,758,500,298,177,66,88,5917
Curfew/Loitering/Vagrancy,15,7,7,0,4,0,1,24,8,10,15,17,7,11,8,0,134
Disorderly Conduct,353,341,292,339,311,264,266,819,506,487,423,371,202,104,47,47,5172
Driving Under the Influence,432,747,866,1171,1213,1177,1075,4209,2789,2601,2582,2172,1260,741,388,269,23692
Drunkenness,657,781,863,1373,1177,1069,993,3934,2764,3076,3680,3502,2222,988,424,290,27793
"Family Offenses, Nonviolent",40,34,39,39,52,57,46,285,251,260,186,114,60,24,5,9,1501
Liquor Laws,1889,2090,1685,296,227,178,149,501,348,414,441,444,320,193,74,52,9301
Peeping Tom,3,5,0,7,1,1,5,16,7,4,8,7,0,5,0,1,70
Runaway,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Trespass to Real Property,611,476,463,466,377,308,267,1085,726,777,882,761,479,237,124,83,8122
Conspiracy to Commit Group A Offense,4,4,6,2,4,2,6,27,4,8,16,8,5,2,0,0,98
Conspiracy to Commit Group B Offense,4,3,5,1,3,0,2,5,5,4,3,5,0,0,0,0,40
All Other Offenses,2988,3837,4135,4187,3935,3644,3701,15153,10999,11190,10135,7321,4082,1998,937,1088,89330
Total Group B Offenses,7083,8445,8499,8049,7477,6892,6702,27050,19440,19767,19129,15223,8935,4480,2073,1927,171171
