Point of Entry/Exit During Burglary,Entry,Exit
Front,18,16
Rear,8,7
Side,10,6
Attic,,
Vent/AC,,
Window,4,
Door,36,27
Patio/Sliding Dr,2,1
Balcony/Fire Escape,1,
Attached Garage,2,1
Wall,,
Vehicle,2,
Floor,,
Roof/Skylight,,
Hidden Within,,
Other,8,7
Unk/Not Reported,1571,1595
(Up to 2 entry and exit points can be reported for each offense.),,
