Rank,Nature of Call,Total
1,911 Hang-up,"10,679"
2,See Complainant,"5,662"
3,"Alarm, Burglary","3,560"
4,Disturbance,"3,243"
5,Animal Control Call,"2,490"
6,Suspicious Person,"2,439"
7,Auto Accident,"2,406"
8,Reckless Driver,"1,861"
9,Larceny,"1,631"
10,Checking Building,"1,574"
