Disposition,,,,,,,,,
Species,Reclaimed by Owner,Adopted,Transferred to Another Virginia Releasing Agency,Transferred to Out-of-State Facility,Died in Facility,Euthanized,Misc,On Hand 12-31-2011,Total
Dogs ,253,472,12,1,3,424,30,1195,1081
Cats ,23,435,16,,68,1079,17,1638,1335
Other Companion Animals,,9,,,2,5,,16,
Equine,,1,,,,,1,2,21
Livestock,1,1,,,,,,2,1
Poultry,,1,,,,,,1,3
Total,277,919,28,1,73,1508,48,2854,0
