Rank,Nature of Call,Total
1,Checking Building,"42,628"
2,Vehicle Stop,"26,709"
3,Busy on Investigation,"3,849"
4,Pick Up Paperwork,"3,112"
5,See Complainant,"3,050"
6,Motorist Needs Assistance,"2,588"
7,Suspicious Person,"1,834"
8,Traffic Detail,"1,797"
9,Execute Warrant,"1,726"
10,Foot Patrol,"1,491"
