Action,Totals
Vehicles Weighed,403
Overweight Citations issued,88
Summons issued,898
Arrests,7
DUI / DUID,1
Drugs,1
Liquidated damages written,"$235,811.00"
Safety Inspections,247
Safety Inspections Resulting in Vehicle being taken out of service,142
