2011 Click It or Ticket Campaign,Arrests/Summonses
DUI/DUID arrests,3
Safety belt violations,288
Child restraint violations,41
Speeding violations,319
Reckless driving,11
Suspended/Revoked violations,78
Other violations,464
Total Summonses/Arrests,"1,204"
Pre-Enforcement Seatbelt Survey Belt Usage,78%
Post-Enforcement Seatbelt Survey Belt Usage,89%
