Rank,Offense,Total
1,Simple Assualt,760
2,"Simple Assualt, Domestic",659
3,Vandalism of Private Property,558
4,Petit Larceny,519
5,Grand Larceny,480
6,Destruction of Property,448
7,"Burglary, Residential",382
8,Hit and Run,302
9,Possession of Marijuana,267
10,Theft from Motor Vehicle,242
