Arrests by Offense,Bedford,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",7,2
Robbery,1,0
Aggravated Assault,17,3
Simple Assault/Intimidation,291,14
Arson,1,0
Extortion/Blackmail,0,0
Burglary,30,7
Larceny,112,7
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,4,0
Fraud,16,0
Embezzlement,6,0
Stolen Property,2,0
Vandalism,17,4
Drug/Narcotic Offenses,87,10
"Sex Offenses, Nonforcible",3,0
Pornography,8,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,3
TOTAL GROUP A,626,50
Bad Checks,32,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,9,5
Driving Under Influence,100,2
Drunkenness,68,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,14,7
Peeping Tom,0,0
Runaway,0,9
Trespass of Real Property,32,6
Conspiracy,0,0
All Other (except Traffic),278,33
TOTAL GROUP B,536,62
GRAND TOTAL,1162,112
