Arrests by Offense,Orange,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,3,1
Aggravated Assault,9,0
Simple Assault/Intimidation,53,10
Arson,1,0
Extortion/Blackmail,0,0
Burglary,9,10
Larceny,45,11
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,4,0
Fraud,12,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,6,1
Drug/Narcotic Offenses,59,11
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,2
TOTAL GROUP A,211,46
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,106,1
Drunkenness,101,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,3,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,27,0
Conspiracy,0,0
All Other (except Traffic),117,4
TOTAL GROUP B,363,6
GRAND TOTAL,574,52
