Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",8,3
Robbery,4,0
Aggravated Assault,23,0
Simple Assault/Intimidation,289,14
Arson,2,0
Extortion/Blackmail,0,0
Burglary,60,3
Larceny,287,9
Motor Vehicle Theft,14,1
Counterfeiting/Forgery,25,0
Fraud,20,0
Embezzlement,8,0
Stolen Property,8,0
Vandalism,27,6
Drug/Narcotic Offenses,251,4
"Sex Offenses, Nonforcible",1,0
Pornography,3,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,22,0
TOTAL GROUP A,1059,40
Bad Checks,76,0
Curfew/Loitering/Vagrancy,0,3
Disorderly Conduct,18,0
Driving Under Influence,180,1
Drunkenness,184,8
"Family Offenses, Nonforcible",6,0
Liquor Laws Violations,15,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,21,0
Conspiracy,4,0
All Other (except Traffic),274,20
TOTAL GROUP B,778,35
GRAND TOTAL,1837,75
