Arrests by Offense,Amelia ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,7,2
Simple Assault/Intimidation,45,1
Arson,0,1
Extortion/Blackmail,0,0
Burglary,5,0
Larceny,5,1
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,6,0
Drug/Narcotic Offenses,25,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,106,5
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,0
Driving Under Influence,37,1
Drunkenness,14,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,6,0
Conspiracy,0,0
All Other (except Traffic),122,1
TOTAL GROUP B,190,4
GRAND TOTAL,296,9
