Arrests by Offense,Total City,
,Adult,Juvenile
Murder,161,6
Manslaughter,2,0
Kidnaping,506,11
"Sex Offenses, Forcible",461,73
Robbery,918,225
Aggravated Assault,1894,200
Simple Assault/Intimidation,18153,1560
Arson,66,49
Extortion/Blackmail,19,13
Burglary,1535,403
Larceny,11564,1884
Motor Vehicle Theft,297,69
Counterfeiting/Forgery,743,10
Fraud,1846,59
Embezzlement,610,8
Stolen Property,443,59
Vandalism,1614,292
Drug/Narcotic Offenses,14829,819
"Sex Offenses, Nonforcible",37,6
Pornography,54,5
Gambling,63,0
Prostitution,465,3
Bribery,6,0
Weapon Law Violations,1528,153
TOTAL GROUP A,57814,5907
Bad Checks,677,2
Curfew/Loitering/Vagrancy,213,1066
Disorderly Conduct,2476,318
Driving Under Influence,10714,41
Drunkenness,18297,50
"Family Offenses, Nonforcible",1539,28
Liquor Laws Violations,4743,545
Peeping Tom,28,0
Runaway,0,1070
Trespass of Real Property,6519,378
Conspiracy,32,4
All Other (except Traffic),48766,2753
TOTAL GROUP B,94004,6255
GRAND TOTAL,151818 12162,
