Arrests by Offense,Staunton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",21,0
Robbery,8,1
Aggravated Assault,11,1
Simple Assault/Intimidation,198,12
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,0
Larceny,136,11
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,7,0
Fraud,23,0
Embezzlement,6,0
Stolen Property,5,0
Vandalism,22,5
Drug/Narcotic Offenses,150,12
"Sex Offenses, Nonforcible",4,0
Pornography,4,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,3
TOTAL GROUP A,614,45
Bad Checks,6,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,21,6
Driving Under Influence,102,2
Drunkenness,215,1
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,56,23
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,32,2
Conspiracy,0,0
All Other (except Traffic),851,54
TOTAL GROUP B,1285,88
GRAND TOTAL,1899,133
