Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,58,2
"Sex Offenses, Forcible",66,18
Robbery,56,27
Aggravated Assault,137,39
Simple Assault/Intimidation,1788,374
Arson,4,4
Extortion/Blackmail,1,0
Burglary,131,42
Larceny,1124,252
Motor Vehicle Theft,44,14
Counterfeiting/Forgery,126,7
Fraud,267,15
Embezzlement,79,3
Stolen Property,49,8
Vandalism,145,73
Drug/Narcotic Offenses,1590,244
"Sex Offenses, Nonforcible",8,2
Pornography,7,5
Gambling,0,0
Prostitution,16,0
Bribery,0,0
Weapon Law Violations,80,23
TOTAL GROUP A,5781,1152
Bad Checks,33,0
Curfew/Loitering/Vagrancy,9,272
Disorderly Conduct,138,36
Driving Under Influence,2149,14
Drunkenness,946,47
"Family Offenses, Nonforcible",24,0
Liquor Laws Violations,287,115
Peeping Tom,0,0
Runaway,0,920
Trespass of Real Property,78,19
Conspiracy,0,0
All Other (except Traffic),2457,111
TOTAL GROUP B,6121,1534
GRAND TOTAL,11902,2686
