Arrests by Offense,New Kent,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",6,0
Robbery,1,2
Aggravated Assault,10,7
Simple Assault/Intimidation,53,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,15,4
Larceny,21,7
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,5,0
Fraud,12,2
Embezzlement,2,0
Stolen Property,1,0
Vandalism,0,6
Drug/Narcotic Offenses,60,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,11,0
TOTAL GROUP A,201,51
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,2
Driving Under Influence,39,0
Drunkenness,25,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,17,29
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,13,3
Conspiracy,0,0
All Other (except Traffic),260,3
TOTAL GROUP B,355,37
GRAND TOTAL,556,88
