Arrests by Offense,Brunswick ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,3
Robbery,6,0
Aggravated Assault,7,0
Simple Assault/Intimidation,27,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,8,7
Larceny,34,3
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,2,1
Fraud,2,0
Embezzlement,1,0
Stolen Property,5,0
Vandalism,6,4
Drug/Narcotic Offenses,36,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,144,26
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,15,5
Driving Under Influence,85,0
Drunkenness,33,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,5,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,1
Conspiracy,0,0
All Other (except Traffic),300,1
TOTAL GROUP B,461,9
GRAND TOTAL,605,35
