Arrests by Offense,Total County,
,Adult,Juvenile
Murder,104,6
Manslaughter,2,0
Kidnaping,471,9
"Sex Offenses, Forcible",581,160
Robbery,640,152
Aggravated Assault,1821,247
Simple Assault/Intimidation,18697,3168
Arson,80,86
Extortion/Blackmail,28,4
Burglary,2202,479
Larceny,15793,2948
Motor Vehicle Theft,514,114
Counterfeiting/Forgery,1232,36
Fraud,2326,91
Embezzlement,964,18
Stolen Property,390,92
Vandalism,2165,688
Drug/Narcotic Offenses,18492,1922
"Sex Offenses, Nonforcible",90,9
Pornography,116,38
Gambling,4,1
Prostitution,318,1
Bribery,3,0
Weapon Law Violations,1516,221
TOTAL GROUP A,68549,10490
Bad Checks,1574,3
Curfew/Loitering/Vagrancy,29,929
Disorderly Conduct,1799,663
Driving Under Influence,18353,134
Drunkenness,14166,157
"Family Offenses, Nonforcible",627,17
Liquor Laws Violations,3643,1213
Peeping Tom,26,3
Runaway,0,2442
Trespass of Real Property,2904,560
Conspiracy,67,1
All Other (except Traffic),45256,2543
TOTAL GROUP B,88444,8665
GRAND TOTAL,156993,19155
