Arrests by Offense,Scott,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,12,1
Simple Assault/Intimidation,121,0
Arson,0,0
Extortion/Blackmail,1,0
Burglary,48,0
Larceny,127,0
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,10,0
Fraud,14,0
Embezzlement,1,0
Stolen Property,9,0
Vandalism,24,0
Drug/Narcotic Offenses,170,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,14,0
TOTAL GROUP A,566,3
Bad Checks,49,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,0
Driving Under Influence,136,1
Drunkenness,84,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,26,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,26,0
Conspiracy,4,0
All Other (except Traffic),315,0
TOTAL GROUP B,645,7
GRAND TOTAL,1211,10
